id,lat,long
12138,28.536316,77.221834
12139,28.547428,77.249394
12140,28.536316,77.221834
12141,28.652444,77.19165
12142,28.535516,77.391026
12143,28.51918,77.21301
12144,28.632903,77.219678
12145,28.667502,77.228175
12146,28.63041,77.216085
12147,28.536316,77.221834
12148,28.637791,77.293669
12149,28.51918,77.21301
12150,28.51918,77.21301
12151,28.737323,77.090981
12152,28.653219,77.123168
12153,28.694078,77.110402
12154,28.613111,77.095111
12155,28.716421,77.170456
12156,28.643996,77.188555
12157,28.679676,77.092712
12158,28.620123,77.093858
12159,28.57271,77.1974
12160,28.714815,77.11549
12161,28.690563,77.133416
12162,28.682542,77.164592
12163,28.667502,77.228175
12164,28.649379,77.178352
12165,28.694059,77.177274
12166,28.480157,77.315665
12167,28.737323,77.090981
12168,28.626045,77.134499
12169,28.593924,77.164334
12170,28.641385,77.12119
12171,28.669304,77.128382
12172,28.626045,77.134499
12173,28.581804,77.2477
12174,28.652444,77.19165
12175,28.651596,77.158244
12176,28.718085,77.188775
12177,28.536316,77.221834
12178,28.536316,77.221834
12179,28.718085,77.188775
12180,28.63041,77.216085
12181,28.636634,77.286834
12182,28.534197,77.214648
12183,28.527335,77.151545
12184,28.637725,77.277869
12185,28.536316,77.221834
12186,28.554416,77.195423
12187,28.653197,77.31329
12188,28.632824,77.218259
12189,28.712185,77.157144
12190,28.573606,77.221834
12191,28.641385,77.12119
12192,28.625796,77.065713
12193,28.686743,77.206634
12194,28.657474,77.109683
12195,28.635308,77.22496
12196,28.635308,77.22496
12197,28.690737,77.053568
12198,28.737323,77.090981
12199,28.702208,77.142764
12200,28.737323,77.090981
12201,28.606035,77.306595
12202,28.693221,77.034857
12203,28.612987,77.229514
12204,28.720719,77.107133
12205,28.686192,77.274996
12206,28.534197,77.214648
12207,28.702208,77.142764
12208,28.627817,77.218959
12209,28.650554,77.231893
12210,28.694766,77.214942
12211,28.703047,77.177298
12212,28.635308,77.22496
12213,28.635308,77.22496
12214,28.635308,77.22496
12215,28.635308,77.22496
